# Configuration:
#   Braille Code: Nemeth
#   Generate Braille: False
#   Model: gemini-2.5-flash
#   API Key: GEMINI_API_KEY
#   Batch Size: 80
#   Number of Examples: 0
#   Example Braille File: RustTestData/Nemeth.brls
#   Example MathML File: RustTestData/Nemeth.mmls
#   Input Braille Dir: test_data/Nemeth
#   Input MathML Dir: test_data/MathML
#   Instructions (preview): You are an expert braille translator specializing in Nemeth braille. The user will provide a python list of strings, where each string is composed of Unicode Nemeth braille characters.  Here are two e...
#
# 200 items. Usage info: prompt=8697, candidates=11290, total=168325, time=409603ms, TPS=36280.15943312666.2f
#

# NOT Normalized MathML
# Match | Test Input | Expected | Computed
✓ | ⠋⠷⠞⠾⠀⠨⠅⠀⠁⠃⠘⠞ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup></mrow></math> | <math><mi>f</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup></math>
✓ | ⠛⠷⠞⠾⠀⠨⠅⠀⠁⠃⠘⠞⠐⠬⠉ | <math><mrow><mi>g</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup><mo>+</mo><mi>c</mi></mrow></math> | <math><mi>g</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup><mo>+</mo><mi>c</mi></math>
✓ | ⠼⠂⠴ | <math><mn>10</mn></math> | <math><mn>10</mn></math>
✗ | ⠼⠆⠬⠒⠀⠨⠅⠀⠼⠢⠸⠒ | <math><mrow><mn>2</mn><mo>+</mo><mn>3</mn><mo>=</mo><mn>5</mn><mtext>:</mtext></mrow></math> | <math><mn>2</mn><mo>+</mo><mn>3</mn><mo>=</mo><msub><mn>5</mn><mn>3</mn></msub></math>
✓ | ⠼⠆ | <math><mn>2</mn></math> | <math><mn>2</mn></math>
✗ | ⠼⠆⠡⠒⠀⠨⠅⠀⠼⠖⠸⠲ | <math><mrow><mn>2</mn><mo>⋅</mo><mn>3</mn><mo>=</mo><mn>6</mn><mtext>.</mtext></mrow></math> | <math><mn>2</mn><mo>&#x22C5;</mo><mn>3</mn><mo>=</mo><msub><mn>6</mn><mn>4</mn></msub></math>
✗ | ⠰⠋⠸⠒⠀⠠⠃⠀⠫⠕⠀⠠⠉⠠ | <math><mrow><mi>f</mi><mo>:</mo><mi>B</mi><mo accent="false" stretchy="false">→</mo><mi>C</mi><mtext>,</mtext></mrow></math> | <math><msub><mi>F</mi><mn>3</mn></msub><mi>B</mi><mi>Do</mi><mi>C</mi></math>
✗ | ⠷⠋⠨⠡⠛⠾⠷⠭⠾⠀⠨⠅⠀⠋⠷⠛⠷⠭⠾⠾⠸⠲ | <math><mrow><mo stretchy="false">(</mo><mi>f</mi><mo>∘</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mi>f</mi><mo stretchy="false">(</mo><mi>g</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | <math><mo>(</mo><mi>f</mi><mo>&#x22C5;</mo><mi>g</mi><mo>)</mo><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mi>f</mi><mo>(</mo><mi>g</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>)</mo><mo>.</mo></math>
✗ | ⠰⠛ | <math><mi>g</mi></math> | <math><mi>G</mi></math>
✗ | ⠰⠋ | <math><mi>f</mi></math> | <math><mi>F</mi></math>
✗ | ⠰⠟ | <math><mi>q</mi></math> | <math><mi>Q</mi></math>
